group_order,small_group_id,group_structure,class_i,class_j,class_size,union_size,linear_nullity,unordered_sign_solutions,nontrivial_partitions,isomorphic_partitions,new_twists,isomorphism_flags
192,751,"C3 : ((C2 x Q16) : C2)",2,11,12,24,1,1,0,0,0,""
192,751,"C3 : ((C2 x Q16) : C2)",9,22,12,24,1,1,0,0,0,""
192,757,"C3 : (((C4 x C4) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,757,"C3 : (((C4 x C4) : C2) : C2)",9,21,12,24,1,1,0,0,0,""
192,757,"C3 : (((C4 x C4) : C2) : C2)",10,22,12,24,4,8,1,1,0,"true"
192,758,"C3 : ((C2 x D16) : C2)",19,25,12,24,1,1,0,0,0,""
192,758,"C3 : ((C2 x D16) : C2)",20,26,6,12,2,2,0,0,0,""
192,759,"C3 : ((C2 x QD16) : C2)",19,25,12,24,1,1,0,0,0,""
192,759,"C3 : ((C2 x QD16) : C2)",20,26,6,12,2,2,0,0,0,""
192,760,"C3 : ((C8 : (C2 x C2)) : C2)",2,11,12,24,1,1,0,0,0,""
192,760,"C3 : ((C8 : (C2 x C2)) : C2)",9,21,12,24,1,1,0,0,0,""
192,760,"C3 : ((C8 : (C2 x C2)) : C2)",20,26,12,24,4,8,1,1,0,"true"
192,761,"C3 : (((C4 x C4) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,761,"C3 : (((C4 x C4) : C2) : C2)",9,21,12,24,1,1,0,0,0,""
192,761,"C3 : (((C4 x C4) : C2) : C2)",10,22,12,24,4,8,1,1,0,"true"
192,762,"C3 : ((C2 x QD16) : C2)",19,25,12,24,1,1,0,0,0,""
192,762,"C3 : ((C2 x QD16) : C2)",20,26,6,12,2,2,0,0,0,""
192,763,"C3 : ((C2 x Q16) : C2)",19,25,12,24,1,1,0,0,0,""
192,763,"C3 : ((C2 x Q16) : C2)",20,26,6,12,2,2,0,0,0,""
192,764,"C3 : (((C2 x Q8) : C2) : C2)",2,11,12,24,1,1,0,0,0,""
192,764,"C3 : (((C2 x Q8) : C2) : C2)",9,21,12,24,1,1,0,0,0,""
192,764,"C3 : (((C2 x Q8) : C2) : C2)",20,26,12,24,4,8,1,1,0,"true"
192,781,"C3 : ((C2 x ((C4 x C2) : C2)) : C2)",2,11,12,24,1,1,0,0,0,""
192,781,"C3 : ((C2 x ((C4 x C2) : C2)) : C2)",9,24,12,24,1,1,0,0,0,""
192,781,"C3 : ((C2 x ((C4 x C2) : C2)) : C2)",10,25,12,24,1,1,0,0,0,""
192,781,"C3 : ((C2 x ((C4 x C2) : C2)) : C2)",23,36,12,24,1,1,0,0,0,""
192,782,"C3 : ((C2 x C2 x D8) : C2)",2,11,12,24,1,1,0,0,0,""
192,782,"C3 : ((C2 x C2 x D8) : C2)",9,24,12,24,1,1,0,0,0,""
192,782,"C3 : ((C2 x C2 x D8) : C2)",10,25,12,24,1,1,0,0,0,""
192,782,"C3 : ((C2 x C2 x D8) : C2)",23,36,12,24,1,1,0,0,0,""
192,789,"C3 : ((C4 x C2) : Q8)",2,11,12,24,1,1,0,0,0,""
192,789,"C3 : ((C4 x C2) : Q8)",9,24,12,24,1,1,0,0,0,""
192,789,"C3 : ((C4 x C2) : Q8)",10,25,12,24,1,1,0,0,0,""
192,789,"C3 : ((C4 x C2) : Q8)",23,36,12,24,1,1,0,0,0,""
192,790,"C3 : ((C2 x C2 x Q8) : C2)",2,11,12,24,1,1,0,0,0,""
192,790,"C3 : ((C2 x C2 x Q8) : C2)",9,24,12,24,1,1,0,0,0,""
192,790,"C3 : ((C2 x C2 x Q8) : C2)",10,25,12,24,1,1,0,0,0,""
192,790,"C3 : ((C2 x C2 x Q8) : C2)",23,36,12,24,1,1,0,0,0,""
192,800,"C3 : (((C4 x C4) : C2) : C2)",10,21,12,24,4,8,1,1,0,"true"
192,801,"C3 : (((C4 x C4) : C2) : C2)",10,21,12,24,4,8,1,1,0,"true"
192,802,"C3 : (((C4 x C2 x C2) : C2) : C2)",2,11,12,24,4,8,3,3,0,"true;true;true"
192,803,"C3 : (((C2 x C2 x C2 x C2) : C2) : C2)",2,11,12,24,4,8,3,3,0,"true;true;true"
192,804,"C3 : (((C4 x C4) : C2) : C2)",10,21,12,24,4,8,1,1,0,"true"
192,805,"C3 : ((C4 : Q8) : C2)",10,21,12,24,4,8,1,1,0,"true"
192,955,"(((C2 x C2 x C2 x C2) : C2) : C3) : C2",2,9,12,24,3,4,3,3,0,"true;true;true"
192,955,"(((C2 x C2 x C2 x C2) : C2) : C3) : C2",7,14,12,24,3,4,3,3,0,"true;true;true"
192,956,"(((C4 x C4) : C2) : C3) : C2",2,9,12,24,3,4,3,3,0,"true;true;true"
192,956,"(((C4 x C4) : C2) : C3) : C2",7,14,12,24,3,4,3,3,0,"true;true;true"
192,973,"(A4 : C8) : C2",10,18,16,32,1,1,0,0,0,""
192,974,"(D8 x A4) : C2",10,18,16,32,1,1,0,0,0,""
192,975,"A4 : Q16",10,18,16,32,1,1,0,0,0,""
192,976,"(Q8 x A4) : C2",10,18,16,32,1,1,0,0,0,""
192,987,"(SL(2,3) : C4) : C2",10,16,16,32,1,1,0,0,0,""
192,987,"(SL(2,3) : C4) : C2",15,17,12,24,2,2,0,0,0,""
192,988,"(((C2 x C2 x C2) : (C2 x C2)) : C3) : C2",10,16,16,32,1,1,0,0,0,""
192,988,"(((C2 x C2 x C2) : (C2 x C2)) : C3) : C2",15,17,12,24,2,2,0,0,0,""
192,989,"(SL(2,3) : C4) : C2",10,16,16,32,1,1,0,0,0,""
192,989,"(SL(2,3) : C4) : C2",15,17,12,24,2,2,0,0,0,""
192,990,"(((C2 x Q8) : C2) : C3) : C2",10,16,16,32,1,1,0,0,0,""
192,990,"(((C2 x Q8) : C2) : C3) : C2",15,17,12,24,2,2,0,0,0,""
192,1020,"(C4 x C4 x C2 x C2) : C3",2,6,64,128,1,1,0,0,0,""
192,1021,"(((C2 x Q8) : C2) : C2) : C3",4,10,12,24,1,1,0,0,0,""
192,1021,"(((C2 x Q8) : C2) : C2) : C3",4,11,12,24,1,1,0,0,0,""
192,1021,"(((C2 x Q8) : C2) : C2) : C3",4,13,12,24,1,1,0,0,0,""
192,1021,"(((C2 x Q8) : C2) : C2) : C3",10,11,12,24,1,1,0,0,0,""
192,1021,"(((C2 x Q8) : C2) : C2) : C3",10,13,12,24,1,1,0,0,0,""
192,1021,"(((C2 x Q8) : C2) : C2) : C3",11,13,12,24,1,1,0,0,0,""
192,1022,"(Q8 x Q8) : C3",10,11,12,24,1,1,0,0,0,""
192,1022,"(Q8 x Q8) : C3",10,13,12,24,1,1,0,0,0,""
192,1022,"(Q8 x Q8) : C3",11,13,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",2,6,64,128,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,4,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,7,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,8,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",3,9,12,24,1,1,0,0,0,""
192,1023,"(((C2 x C2 x C2 x C2) : C2) : C2) : C3",4,7,12,24,1,1,0,0,0,""
